alcaldia,intensidad,area_m2,perime_m
Gustavo A. Madero,Muy Bajo,411776.9264,3087.54978
Iztacalco,Muy Alto,139044.3886,2327.95343
Cuauhtémoc,Muy Alto,229089.1191,2490.714562
Miguel Hidalgo,Medio,2895652.782,9081.45286
Miguel Hidalgo,Muy Bajo,306643.9276,2725.286694
Miguel Hidalgo,Muy Alto,268154.1644,2274.549405
Miguel Hidalgo,Muy Alto,146335.0184,2137.891754
Miguel Hidalgo,Muy Bajo,208170.9561,2128.347423
Miguel Hidalgo,Muy Alto,206072.6019,2213.381709
Cuauhtémoc,Muy Alto,224135.5096,2060.832462
Xochimilco,Muy Alto,284427.6108,2494.075659
Xochimilco,Muy Alto,240445.1294,2367.409339
Xochimilco,Muy Bajo,314885.7549,2860.785057
Xochimilco,Muy Alto,788820.5375,4480.498977
Álvaro Obregón,Muy Bajo,215816.2064,2972.78134
Tlalpan,Muy Bajo,308472.3861,3206.543657
Benito Juárez,Muy Alto,174224.6836,1719.555187
Tlalpan,Muy Alto,122714.1295,1517.025589
Tlalpan,Muy Bajo,971697.3818,6251.711443
Álvaro Obregón,Muy Bajo,440440.3861,3818.493399
Álvaro Obregón,Muy Bajo,1386263.867,5104.894897
Xochimilco,Muy Bajo,197026.3527,2148.96762
Tlalpan,Bajo,276102.7934,2236.767569
Tláhuac,Muy Alto,792934.3581,3819.695731
Tlalpan,Muy Alto,83860.3012,1447.301738
Álvaro Obregón,Muy Bajo,66436.01824,1090.281134
Álvaro Obregón,Muy Bajo,127681.1388,1446.625949
Xochimilco,Muy Bajo,80875.1795,1575.467807
Tlalpan,Muy Bajo,252220.1455,2782.752999
Tlalpan,Muy Bajo,296696.9526,2391.053878
Tlalpan,Muy Bajo,264538.6299,2087.972963
Benito Juárez,Medio,147197.4345,1714.021527
Benito Juárez,Alto,220684.882,3815.721368
Benito Juárez,Muy Bajo,261983.3277,2821.890171
Benito Juárez,Alto,223185.1228,2590.217388
Benito Juárez,Muy Alto,359865.1914,3106.711099
Benito Juárez,Muy Alto,329793.8173,2395.930132
Álvaro Obregón,Muy Bajo,143733.1773,1942.816004
Tlalpan,Muy Bajo,402681.1053,5442.101117
Tlalpan,Muy Bajo,337289.0365,2929.111899
Tlalpan,Muy Bajo,229631.4822,2213.627274
Álvaro Obregón,Muy Bajo,265785.6882,2964.868727
Tláhuac,Alto,263525.256,2500.292476
Tláhuac,Muy Alto,350209.5742,2908.952594
Álvaro Obregón,Muy Bajo,784347.9165,4631.234423
Álvaro Obregón,Muy Bajo,62402.19849,1443.241246
Tlalpan,Muy Bajo,34289.23199,1060.953628
Venustiano Carranza,Muy Alto,174558.7436,1716.254737
Gustavo A. Madero,Medio,196842.9031,2009.755952
Cuauhtémoc,Muy Alto,291834.0674,2162.213545
Benito Juárez,Alto,305114.6712,2240.91002
Cuauhtémoc,Muy Alto,621443.8583,5069.456691
Benito Juárez,Alto,289895.8132,2823.195943
Cuauhtémoc,Muy Alto,281436.6742,2391.242932
Gustavo A. Madero,Muy Alto,247781.2278,2345.213887
Gustavo A. Madero,Medio,222619.9994,2379.796758
Gustavo A. Madero,Muy Alto,169959.0692,1829.963217
Cuauhtémoc,Muy Alto,165954.1126,1637.423353
Gustavo A. Madero,Muy Alto,105166.6107,1339.004813
Gustavo A. Madero,Muy Alto,233869.3796,2149.947949
Cuauhtémoc,Muy Alto,232686.7154,1948.094007
Gustavo A. Madero,Muy Alto,311896.2733,2572.719598
Miguel Hidalgo,Muy Bajo,198539.8891,2538.014988
Cuauhtémoc,Muy Alto,228170.5978,1922.93322
Miguel Hidalgo,Alto,220847.4214,2538.955472
Miguel Hidalgo,Alto,224183.2607,2064.968342
Venustiano Carranza,Alto,192685.2894,3403.267977
Venustiano Carranza,Muy Alto,324050.2271,3052.893007
Venustiano Carranza,Muy Alto,172972.4198,2178.1306
Venustiano Carranza,Muy Alto,186132.1368,2047.043094
Álvaro Obregón,Muy Bajo,26099559.8,33539.55216
Coyoacán,Muy Alto,97530.7034,1445.00788
Azcapotzalco,Muy Alto,239431.2159,2616.385281
Gustavo A. Madero,Alto,578005.867,3045.75698
Coyoacán,Muy Alto,361890.8871,2515.323583
Gustavo A. Madero,Muy Alto,117190.815,1410.998698
Coyoacán,Muy Alto,116679.6372,1615.209863
Gustavo A. Madero,Alto,187243.1636,2374.195756
Gustavo A. Madero,Muy Alto,87652.79767,1663.78916
Coyoacán,Muy Alto,261629.7416,2239.406443
Coyoacán,Muy Bajo,271880.854,2263.769588
Gustavo A. Madero,Muy Bajo,200835.0706,2098.869889
Cuajimalpa de Morelos,Muy Bajo,1393937.327,6309.280764
Azcapotzalco,Medio,192375.7046,1885.216759
Azcapotzalco,Muy Alto,262410.3015,2426.096976
Gustavo A. Madero,Alto,537838.5632,4243.06193
Azcapotzalco,Muy Alto,132864.8575,1568.008704
Gustavo A. Madero,Muy Alto,181639.0903,1931.813016
